"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.51253782271673,0.985,0.636,0,"0","SERPINH1"
0,1.6615567985385,0.602,0.253,0,"0","USP28"
0,1.3494697240671,0.966,0.617,0,"0","SNRPD2"
0,1.15873920924438,0.791,0.443,0,"0","RCC2"
0,1.34493962050699,0.791,0.443,0,"0","LMAN2"
0,1.50295503544092,0.939,0.591,0,"0","EIF3E"
0,1.18231570221545,0.737,0.389,0,"0","PVT1"
0,1.66912236877924,0.608,0.26,0,"0","SDHD"
0,1.19100368754213,0.831,0.483,0,"0","PHB2"
0,1.29630601150223,0.814,0.466,0,"0","CEBPZ"
0,1.21763230362035,0.772,0.425,0,"0","DAZAP1"
0,1.11654247114725,0.875,0.528,0,"0","TMED9"
0,3.27569205139739,0.428,0.081,0,"0","GLB1L3"
0,1.19157867114826,0.89,0.543,0,"0","EIF4B"
0,1.77218071170375,0.586,0.239,0,"0","MIS18A"
0,1.45603375174167,0.682,0.336,0,"0","ITPR2"
0,1.13975996740182,0.901,0.555,0,"0","CCT4"
0,1.31834289725457,0.739,0.393,0,"0","NDUFB6"
0,3.2495099350373,0.435,0.089,0,"0","AL691420.1"
0,1.76817036373824,0.61,0.264,0,"0","SLC1A5"
0,1.58708018353328,0.629,0.284,0,"0","PERP"
0,2.8446332168804,0.455,0.11,0,"0","PRSS8"
0,1.22782451684867,0.721,0.376,0,"0","PHGDH"
0,1.29661736251333,0.709,0.364,0,"0","MRPL13"
0,1.30782703884178,0.761,0.417,0,"0","CNIH4"
0,1.1734609753122,0.79,0.446,0,"0","MRPL51"
0,1.28638318884669,0.967,0.623,0,"0","UQCRH"
0,1.49338880340989,0.963,0.619,0,"0","SSB"
0,2.24781149400023,0.502,0.158,0,"0","MND1"
0,1.29728740182777,0.713,0.369,0,"0","NDUFA7"
0,1.26610692151567,0.788,0.445,0,"0","SPCS1"
0,1.1737369138279,0.798,0.455,0,"0","SRI"
0,1.30357739053034,0.783,0.44,0,"0","BCAP31"
0,1.28241693974529,0.713,0.37,0,"0","NHP2"
0,1.00660429177259,0.585,0.242,0,"0","MAP7"
0,1.30662255056888,0.918,0.576,0,"0","EIF2S2"
0,1.49880664361973,0.695,0.353,0,"0","CMTM6"
0,1.34934638026072,0.7,0.358,0,"0","RUVBL1"
0,1.12490464501792,0.897,0.555,0,"0","SINHCAF"
0,1.22885927516988,0.73,0.388,0,"0","NDUFA3"
0,1.19822851514503,0.913,0.572,0,"0","UBL5"
0,1.09472231039605,0.866,0.525,0,"0","HSPA4"
0,1.48071628538306,0.651,0.311,0,"0","MRPS26"
0,1.15943102077967,0.761,0.421,0,"0","ROMO1"
0,1.11271487052781,0.745,0.405,0,"0","TMEM167A"
0,1.15269264455437,0.816,0.476,0,"0","HSPA9"
0,1.33942382423906,0.691,0.351,0,"0","CHURC1"
0,1.13245159333631,0.877,0.537,0,"0","COX6B1"
0,1.21946272218593,0.963,0.624,0,"0","SNRPF"
0,1.24532221660313,0.809,0.471,0,"0","MDH1"
0,1.0792836259511,0.783,0.445,0,"0","NUDC"
0,1.10002219798677,0.761,0.423,0,"0","PRELID1"
0,1.05082261739015,0.657,0.319,0,"0","RFC3"
0,1.35079177368378,0.602,0.264,0,"0","PATJ"
0,1.19739800942035,0.74,0.402,0,"0","MRPL52"
0,1.74053142769142,0.548,0.211,0,"0","CCNA2"
0,1.09543074836751,0.812,0.475,0,"0","PSMB3"
0,1.05075239604259,0.863,0.526,0,"0","CLIC1"
0,1.03327164444174,0.833,0.496,0,"0","POMP"
0,1.06844493075896,0.811,0.475,0,"0","CNBP"
0,1.20284442067803,0.807,0.471,0,"0","NDUFA1"
0,1.56205090861755,0.606,0.27,0,"0","GMNN"
0,1.0943004635907,0.847,0.511,0,"0","SOD1"
0,2.45963813163741,0.444,0.11,0,"0","AC006329.1"
0,1.14194194820298,0.891,0.557,0,"0","RBM8A"
0,1.65974192952203,0.583,0.249,0,"0","RPF2"
0,1.24209355061937,0.69,0.357,0,"0","EEF1E1"
0,1.23015427803213,0.924,0.592,0,"0","PRMT1"
0,2.07771301830481,0.507,0.175,0,"0","CDCA7"
0,1.15384021505091,0.778,0.446,0,"0","GNL3"
0,1.38572662346189,0.634,0.302,0,"0","C1GALT1"
0,1.69978895555003,0.571,0.239,0,"0","BOLA3"
0,1.05720776720323,0.811,0.48,0,"0","PSMA3"
0,1.63725100935536,0.578,0.247,0,"0","CENPW"
0,1.22761069530496,0.706,0.375,0,"0","ATP5F1D"
0,1.09800066363348,0.838,0.507,0,"0","SNRPB2"
0,1.10809012992921,0.908,0.578,0,"0","GNG5"
0,1.40772976786351,0.897,0.567,0,"0","MGST3"
0,1.17399560441178,0.815,0.485,0,"0","TMED10"
0,1.17587883912257,0.939,0.609,0,"0","OAZ1"
0,1.33520107060392,0.667,0.338,0,"0","SLC39A1"
0,2.45762240483341,0.435,0.106,0,"0","GRHL2"
0,2.64549507354047,0.443,0.114,0,"0","SORL1"
0,1.10109167732179,0.836,0.507,0,"0","DDOST"
0,1.22044402363243,0.727,0.398,0,"0","ATIC"
0,1.29532521688008,0.692,0.363,0,"0","NME3"
0,1.41744123370673,0.675,0.347,0,"0","TXNDC12"
0,1.05492032011124,0.788,0.46,0,"0","HSD17B4"
0,1.26667549549963,0.694,0.366,0,"0","BUB3"
0,1.80385085337177,0.988,0.661,0,"0","PSIP1"
0,1.11569097218651,0.717,0.39,0,"0","NDUFB1"
0,1.2409894885823,0.712,0.385,0,"0","SNRPA"
0,1.51356880460134,0.56,0.234,0,"0","CDK1"
0,2.35606480960415,0.466,0.14,0,"0","PDGFA"
0,1.02034341124086,0.755,0.429,0,"0","ELOC"
0,1.41448641912897,0.664,0.338,0,"0","CYC1"
0,1.24504788799415,0.584,0.258,0,"0","FOXO1"
0,1.19800363257719,0.673,0.348,0,"0","DPY30"
0,1.02031817434086,0.743,0.418,0,"0","OCIAD2"
0,1.17466936566136,0.702,0.377,0,"0","MSH6"
0,1.10823955442601,0.848,0.523,0,"0","TCEA1"
0,2.66625161093184,0.421,0.096,0,"0","BST2"
0,1.65354655787271,0.557,0.233,0,"0","MCM4"
0,1.25653307019525,0.683,0.359,0,"0","NDUFB10"
0,2.88551442458772,0.405,0.081,0,"0","AP000459.2"
